target,,qid,question_text,Predictions
0,855216,a7902a3c44454ac1e103,What is life and why does it exist?,0
0,908251,b1f83014a885a6a294e3,Should we counter attack all the stone pelters in Kashmir?,1
0,867290,a9ee5daf43aea5c48dae,Should I have to take up GRE to get into a university in Ireland or only IELTS is enough?,0
0,160110,1f4f511a6d4e10f3280e,I am currently looking for a job as QA in Paraguay. How much is the job/department valued there?,0
0,538951,6993b39251d8e64fb6ca,How much helium is in the air we breathe?,0
0,804974,9db9662d57d102b7585c,How can I clean our house?,0
0,693925,87eba959c559f03b466a,"How do you say ""No, Tanner is not Korean"" in Korean?",1
0,542736,6a542e9a35ceddae7296,How do I send audio on Hangouts?,0
0,113784,1643607f3912b3bde7fa,Have you ever found personal letters in an unexpected place?,0
0,1041174,cc033d77ae70f5a613a2,Can rubber gloves be fashionable & used with a suit?,0
1,1274568,f9c856ac8195804cd535,Why is every answer about Trump typical leftist drivel?,1
1,250920,311a47652ca8a50be3a1,How can I duck my friends mom?,1
1,27321,0559d89a1dd61ee09367,What pleases more sucking vagina or sucking coke?,1
1,713017,8b93b9b59af28f15ddca,"Since trolling is getting old, what are some other innovative ways to propagandize the decadent west?",1
1,1010959,c61a3574f40d4caa77f0,There is not a single study showing that the smallpox vaccine is effective. Why bother?,0
1,816270,9ff1fc84ad7dd8ce577c,Do democrats realize that there is a chance that the 48.6 percent of eligible voters who didn't vote in 2016 could have voted for Trump? Can they deny that he has a popular vote mandate?,1
1,429187,541bb67a8c8126f045fa,Why are Muslim countries less developed than Western countries?,1
1,397297,4dd4cf88ead9a456f861,Do professors of IITs and IISc demand for sexual favors from there female Ph.D students?,1
1,502196,62533dea931e53c0cab6,"How is Russian man? My aunt tell me Russia is cold, so many people will drink, and then they will get drunk and then hit their wives at home, so many Russian girl more like Chinese man, is it really?",1
1,1186433,e882394a33e42db2d8ff,"Why does Ottawa treat mature women disrespeful. For example, many of us are told we talk too much. We never had men tell us this in other parts of Canada? Are the men here living in Victorian times?",1
